Timestamp,Event Type,Duration,Details
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:51,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:52,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:53,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:54,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:55,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
